PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Age_imputed,CabinDeck,TicketCount_x,TicketCount_y,TicketCount,Fare_outlier,Fare_capped,AgeGroup,Sex_numeric
1,0,3,male,22.0,1,0,7.25,S,2,False,22.0,Unknown,1,1,1,False,7.25,YoungAdult,0
2,1,1,female,38.0,1,0,71.2833,C,2,False,38.0,C,1,1,1,False,71.2833,Adult,1
3,1,3,female,26.0,0,0,7.925,S,1,True,26.0,Unknown,1,1,1,False,7.925,YoungAdult,1
4,1,1,female,35.0,1,0,53.1,S,2,False,35.0,C,2,2,2,False,53.1,Adult,1
5,0,3,male,35.0,0,0,8.05,S,1,True,35.0,Unknown,1,1,1,False,8.05,Adult,0
6,0,3,male,,0,0,8.4583,Q,1,True,25.0,Unknown,1,1,1,False,8.4583,YoungAdult,0
7,0,1,male,54.0,0,0,51.8625,S,1,True,54.0,E,1,1,1,False,51.8625,Adult,0
8,0,3,male,2.0,3,1,21.075,S,5,False,2.0,Unknown,4,4,4,False,21.075,Child,0
9,1,3,female,27.0,0,2,11.1333,S,3,False,27.0,Unknown,3,3,3,False,11.1333,YoungAdult,1
10,1,2,female,14.0,1,0,30.0708,C,2,False,14.0,Unknown,2,2,2,False,30.0708,Teen,1
11,1,3,female,4.0,1,1,16.7,S,3,False,4.0,G,2,2,2,False,16.7,Child,1
12,1,1,female,58.0,0,0,26.55,S,1,True,58.0,C,1,1,1,False,26.55,Adult,1
13,0,3,male,20.0,0,0,8.05,S,1,True,20.0,Unknown,1,1,1,False,8.05,YoungAdult,0
14,0,3,male,39.0,1,5,31.275,S,7,False,39.0,Unknown,7,7,7,False,31.275,Adult,0
15,0,3,female,14.0,0,0,7.8542,S,1,True,14.0,Unknown,1,1,1,False,7.8542,Teen,1
16,1,2,female,55.0,0,0,16.0,S,1,True,55.0,Unknown,1,1,1,False,16.0,Adult,1
17,0,3,male,2.0,4,1,29.125,Q,6,False,2.0,Unknown,5,5,5,False,29.125,Child,0
18,1,2,male,,0,0,13.0,S,1,True,30.0,Unknown,1,1,1,False,13.0,YoungAdult,0
19,0,3,female,31.0,1,0,18.0,S,2,False,31.0,Unknown,1,1,1,False,18.0,Adult,1
20,1,3,female,,0,0,7.225,C,1,True,21.5,Unknown,1,1,1,False,7.225,YoungAdult,1
21,0,2,male,35.0,0,0,26.0,S,1,True,35.0,Unknown,2,2,2,False,26.0,Adult,0
22,1,2,male,34.0,0,0,13.0,S,1,True,34.0,D,1,1,1,False,13.0,Adult,0
23,1,3,female,15.0,0,0,8.0292,Q,1,True,15.0,Unknown,1,1,1,False,8.0292,Teen,1
24,1,1,male,28.0,0,0,35.5,S,1,True,28.0,A,1,1,1,False,35.5,YoungAdult,0
25,0,3,female,8.0,3,1,21.075,S,5,False,8.0,Unknown,4,4,4,False,21.075,Child,1
26,1,3,female,38.0,1,5,31.3875,S,7,False,38.0,Unknown,4,4,4,False,31.3875,Adult,1
27,0,3,male,,0,0,7.225,C,1,True,25.0,Unknown,1,1,1,False,7.225,YoungAdult,0
28,0,1,male,19.0,3,2,263.0,S,6,False,19.0,C,4,4,4,True,249.00622000000035,YoungAdult,0
29,1,3,female,,0,0,7.8792,Q,1,True,21.5,Unknown,1,1,1,False,7.8792,YoungAdult,1
30,0,3,male,,0,0,7.8958,S,1,True,25.0,Unknown,1,1,1,False,7.8958,YoungAdult,0
31,0,1,male,40.0,0,0,27.7208,C,1,True,40.0,Unknown,1,1,1,False,27.7208,Adult,0
32,1,1,female,,1,0,146.5208,C,2,False,35.0,B,2,2,2,False,146.5208,Adult,1
33,1,3,female,,0,0,7.75,Q,1,True,21.5,Unknown,1,1,1,False,7.75,YoungAdult,1
34,0,2,male,66.0,0,0,10.5,S,1,True,66.0,Unknown,1,1,1,False,10.5,Senior,0
35,0,1,male,28.0,1,0,82.1708,C,2,False,28.0,Unknown,2,2,2,False,82.1708,YoungAdult,0
36,0,1,male,42.0,1,0,52.0,S,2,False,42.0,Unknown,2,2,2,False,52.0,Adult,0
37,1,3,male,,0,0,7.2292,C,1,True,25.0,Unknown,1,1,1,False,7.2292,YoungAdult,0
38,0,3,male,21.0,0,0,8.05,S,1,True,21.0,Unknown,1,1,1,False,8.05,YoungAdult,0
39,0,3,female,18.0,2,0,18.0,S,3,False,18.0,Unknown,2,2,2,False,18.0,YoungAdult,1
40,1,3,female,14.0,1,0,11.2417,C,2,False,14.0,Unknown,2,2,2,False,11.2417,Teen,1
41,0,3,female,40.0,1,0,9.475,S,2,False,40.0,Unknown,1,1,1,False,9.475,Adult,1
42,0,2,female,27.0,1,0,21.0,S,2,False,27.0,Unknown,2,2,2,False,21.0,YoungAdult,1
43,0,3,male,,0,0,7.8958,C,1,True,25.0,Unknown,1,1,1,False,7.8958,YoungAdult,0
44,1,2,female,3.0,1,2,41.5792,C,4,False,3.0,Unknown,3,3,3,False,41.5792,Child,1
45,1,3,female,19.0,0,0,7.8792,Q,1,True,19.0,Unknown,1,1,1,False,7.8792,YoungAdult,1
46,0,3,male,,0,0,8.05,S,1,True,25.0,Unknown,1,1,1,False,8.05,YoungAdult,0
47,0,3,male,,1,0,15.5,Q,2,False,25.0,Unknown,1,1,1,False,15.5,YoungAdult,0
48,1,3,female,,0,0,7.75,Q,1,True,21.5,Unknown,1,1,1,False,7.75,YoungAdult,1
49,0,3,male,,2,0,21.6792,C,3,False,25.0,Unknown,1,1,1,False,21.6792,YoungAdult,0
50,0,3,female,18.0,1,0,17.8,S,2,False,18.0,Unknown,2,2,2,False,17.8,YoungAdult,1
51,0,3,male,7.0,4,1,39.6875,S,6,False,7.0,Unknown,6,6,6,False,39.6875,Child,0
52,0,3,male,21.0,0,0,7.8,S,1,True,21.0,Unknown,1,1,1,False,7.8,YoungAdult,0
53,1,1,female,49.0,1,0,76.7292,C,2,False,49.0,D,3,3,3,False,76.7292,Adult,1
54,1,2,female,29.0,1,0,26.0,S,2,False,29.0,Unknown,1,1,1,False,26.0,YoungAdult,1
55,0,1,male,65.0,0,1,61.9792,C,2,False,65.0,B,1,1,1,False,61.9792,Senior,0
56,1,1,male,,0,0,35.5,S,1,True,40.0,C,1,1,1,False,35.5,Adult,0
57,1,2,female,21.0,0,0,10.5,S,1,True,21.0,Unknown,1,1,1,False,10.5,YoungAdult,1
58,0,3,male,28.5,0,0,7.2292,C,1,True,28.5,Unknown,1,1,1,False,7.2292,YoungAdult,0
59,1,2,female,5.0,1,2,27.75,S,4,False,5.0,Unknown,3,3,3,False,27.75,Child,1
60,0,3,male,11.0,5,2,46.9,S,8,False,11.0,Unknown,6,6,6,False,46.9,Child,0
61,0,3,male,22.0,0,0,7.2292,C,1,True,22.0,Unknown,1,1,1,False,7.2292,YoungAdult,0
62,1,1,female,38.0,0,0,80.0,S,1,True,38.0,B,2,2,2,False,80.0,Adult,1
63,0,1,male,45.0,1,0,83.475,S,2,False,45.0,C,2,2,2,False,83.475,Adult,0
64,0,3,male,4.0,3,2,27.9,S,6,False,4.0,Unknown,6,6,6,False,27.9,Child,0
65,0,1,male,,0,0,27.7208,C,1,True,40.0,Unknown,1,1,1,False,27.7208,Adult,0
66,1,3,male,,1,1,15.2458,C,3,False,25.0,Unknown,2,2,2,False,15.2458,YoungAdult,0
67,1,2,female,29.0,0,0,10.5,S,1,True,29.0,F,1,1,1,False,10.5,YoungAdult,1
68,0,3,male,19.0,0,0,8.1583,S,1,True,19.0,Unknown,1,1,1,False,8.1583,YoungAdult,0
69,1,3,female,17.0,4,2,7.925,S,7,False,17.0,Unknown,1,1,1,False,7.925,Teen,1
70,0,3,male,26.0,2,0,8.6625,S,3,False,26.0,Unknown,1,1,1,False,8.6625,YoungAdult,0
71,0,2,male,32.0,0,0,10.5,S,1,True,32.0,Unknown,1,1,1,False,10.5,Adult,0
72,0,3,female,16.0,5,2,46.9,S,8,False,16.0,Unknown,6,6,6,False,46.9,Teen,1
73,0,2,male,21.0,0,0,73.5,S,1,True,21.0,Unknown,5,5,5,False,73.5,YoungAdult,0
74,0,3,male,26.0,1,0,14.4542,C,2,False,26.0,Unknown,1,1,1,False,14.4542,YoungAdult,0
75,1,3,male,32.0,0,0,56.4958,S,1,True,32.0,Unknown,7,7,7,False,56.4958,Adult,0
76,0,3,male,25.0,0,0,7.65,S,1,True,25.0,F,1,1,1,False,7.65,YoungAdult,0
77,0,3,male,,0,0,7.8958,S,1,True,25.0,Unknown,1,1,1,False,7.8958,YoungAdult,0
78,0,3,male,,0,0,8.05,S,1,True,25.0,Unknown,1,1,1,False,8.05,YoungAdult,0
79,1,2,male,0.83,0,2,29.0,S,3,False,0.83,Unknown,2,2,2,False,29.0,Child,0
80,1,3,female,30.0,0,0,12.475,S,1,True,30.0,Unknown,2,2,2,False,12.475,YoungAdult,1
81,0,3,male,22.0,0,0,9.0,S,1,True,22.0,Unknown,1,1,1,False,9.0,YoungAdult,0
82,1,3,male,29.0,0,0,9.5,S,1,True,29.0,Unknown,1,1,1,False,9.5,YoungAdult,0
83,1,3,female,,0,0,7.7875,Q,1,True,21.5,Unknown,1,1,1,False,7.7875,YoungAdult,1
84,0,1,male,28.0,0,0,47.1,S,1,True,28.0,Unknown,1,1,1,False,47.1,YoungAdult,0
85,1,2,female,17.0,0,0,10.5,S,1,True,17.0,Unknown,1,1,1,False,10.5,Teen,1
86,1,3,female,33.0,3,0,15.85,S,4,False,33.0,Unknown,2,2,2,False,15.85,Adult,1
87,0,3,male,16.0,1,3,34.375,S,5,False,16.0,Unknown,4,4,4,False,34.375,Teen,0
88,0,3,male,,0,0,8.05,S,1,True,25.0,Unknown,1,1,1,False,8.05,YoungAdult,0
89,1,1,female,23.0,3,2,263.0,S,6,False,23.0,C,4,4,4,True,249.00622000000035,YoungAdult,1
90,0,3,male,24.0,0,0,8.05,S,1,True,24.0,Unknown,1,1,1,False,8.05,YoungAdult,0
91,0,3,male,29.0,0,0,8.05,S,1,True,29.0,Unknown,1,1,1,False,8.05,YoungAdult,0
92,0,3,male,20.0,0,0,7.8542,S,1,True,20.0,Unknown,1,1,1,False,7.8542,YoungAdult,0
93,0,1,male,46.0,1,0,61.175,S,2,False,46.0,E,1,1,1,False,61.175,Adult,0
94,0,3,male,26.0,1,2,20.575,S,4,False,26.0,Unknown,2,2,2,False,20.575,YoungAdult,0
95,0,3,male,59.0,0,0,7.25,S,1,True,59.0,Unknown,1,1,1,False,7.25,Adult,0
96,0,3,male,,0,0,8.05,S,1,True,25.0,Unknown,1,1,1,False,8.05,YoungAdult,0
97,0,1,male,71.0,0,0,34.6542,C,1,True,71.0,A,1,1,1,False,34.6542,Senior,0
98,1,1,male,23.0,0,1,63.3583,C,2,False,23.0,D,1,1,1,False,63.3583,YoungAdult,0
99,1,2,female,34.0,0,1,23.0,S,2,False,34.0,Unknown,2,2,2,False,23.0,Adult,1
100,0,2,male,34.0,1,0,26.0,S,2,False,34.0,Unknown,2,2,2,False,26.0,Adult,0
101,0,3,female,28.0,0,0,7.8958,S,1,True,28.0,Unknown,1,1,1,False,7.8958,YoungAdult,1
102,0,3,male,,0,0,7.8958,S,1,True,25.0,Unknown,1,1,1,False,7.8958,YoungAdult,0
103,0,1,male,21.0,0,1,77.2875,S,2,False,21.0,D,2,2,2,False,77.2875,YoungAdult,0
104,0,3,male,33.0,0,0,8.6542,S,1,True,33.0,Unknown,1,1,1,False,8.6542,Adult,0
105,0,3,male,37.0,2,0,7.925,S,3,False,37.0,Unknown,1,1,1,False,7.925,Adult,0
106,0,3,male,28.0,0,0,7.8958,S,1,True,28.0,Unknown,1,1,1,False,7.8958,YoungAdult,0
107,1,3,female,21.0,0,0,7.65,S,1,True,21.0,Unknown,1,1,1,False,7.65,YoungAdult,1
108,1,3,male,,0,0,7.775,S,1,True,25.0,Unknown,1,1,1,False,7.775,YoungAdult,0
109,0,3,male,38.0,0,0,7.8958,S,1,True,38.0,Unknown,1,1,1,False,7.8958,Adult,0
110,1,3,female,,1,0,24.15,Q,2,False,21.5,Unknown,3,3,3,False,24.15,YoungAdult,1
111,0,1,male,47.0,0,0,52.0,S,1,True,47.0,C,2,2,2,False,52.0,Adult,0
112,0,3,female,14.5,1,0,14.4542,C,2,False,14.5,Unknown,2,2,2,False,14.4542,Teen,1
113,0,3,male,22.0,0,0,8.05,S,1,True,22.0,Unknown,1,1,1,False,8.05,YoungAdult,0
114,0,3,female,20.0,1,0,9.825,S,2,False,20.0,Unknown,1,1,1,False,9.825,YoungAdult,1
115,0,3,female,17.0,0,0,14.4583,C,1,True,17.0,Unknown,2,2,2,False,14.4583,Teen,1
116,0,3,male,21.0,0,0,7.925,S,1,True,21.0,Unknown,1,1,1,False,7.925,YoungAdult,0
117,0,3,male,70.5,0,0,7.75,Q,1,True,70.5,Unknown,1,1,1,False,7.75,Senior,0
118,0,2,male,29.0,1,0,21.0,S,2,False,29.0,Unknown,2,2,2,False,21.0,YoungAdult,0
119,0,1,male,24.0,0,1,247.5208,C,2,False,24.0,B,2,2,2,False,247.5208,YoungAdult,0
120,0,3,female,2.0,4,2,31.275,S,7,False,2.0,Unknown,7,7,7,False,31.275,Child,1
121,0,2,male,21.0,2,0,73.5,S,3,False,21.0,Unknown,5,5,5,False,73.5,YoungAdult,0
122,0,3,male,,0,0,8.05,S,1,True,25.0,Unknown,1,1,1,False,8.05,YoungAdult,0
123,0,2,male,32.5,1,0,30.0708,C,2,False,32.5,Unknown,2,2,2,False,30.0708,Adult,0
124,1,2,female,32.5,0,0,13.0,S,1,True,32.5,E,1,1,1,False,13.0,Adult,1
125,0,1,male,54.0,0,1,77.2875,S,2,False,54.0,D,2,2,2,False,77.2875,Adult,0
126,1,3,male,12.0,1,0,11.2417,C,2,False,12.0,Unknown,2,2,2,False,11.2417,Teen,0
127,0,3,male,,0,0,7.75,Q,1,True,25.0,Unknown,1,1,1,False,7.75,YoungAdult,0
128,1,3,male,24.0,0,0,7.1417,S,1,True,24.0,Unknown,1,1,1,False,7.1417,YoungAdult,0
129,1,3,female,,1,1,22.3583,C,3,False,21.5,F,2,2,2,False,22.3583,YoungAdult,1
130,0,3,male,45.0,0,0,6.975,S,1,True,45.0,Unknown,1,1,1,False,6.975,Adult,0
131,0,3,male,33.0,0,0,7.8958,C,1,True,33.0,Unknown,1,1,1,False,7.8958,Adult,0
132,0,3,male,20.0,0,0,7.05,S,1,True,20.0,Unknown,1,1,1,False,7.05,YoungAdult,0
133,0,3,female,47.0,1,0,14.5,S,2,False,47.0,Unknown,1,1,1,False,14.5,Adult,1
134,1,2,female,29.0,1,0,26.0,S,2,False,29.0,Unknown,1,1,1,False,26.0,YoungAdult,1
135,0,2,male,25.0,0,0,13.0,S,1,True,25.0,Unknown,1,1,1,False,13.0,YoungAdult,0
136,0,2,male,23.0,0,0,15.0458,C,1,True,23.0,Unknown,1,1,1,False,15.0458,YoungAdult,0
137,1,1,female,19.0,0,2,26.2833,S,3,False,19.0,D,1,1,1,False,26.2833,YoungAdult,1
138,0,1,male,37.0,1,0,53.1,S,2,False,37.0,C,2,2,2,False,53.1,Adult,0
139,0,3,male,16.0,0,0,9.2167,S,1,True,16.0,Unknown,2,2,2,False,9.2167,Teen,0
140,0,1,male,24.0,0,0,79.2,C,1,True,24.0,B,2,2,2,False,79.2,YoungAdult,0
141,0,3,female,,0,2,15.2458,C,3,False,21.5,Unknown,2,2,2,False,15.2458,YoungAdult,1
142,1,3,female,22.0,0,0,7.75,S,1,True,22.0,Unknown,1,1,1,False,7.75,YoungAdult,1
143,1,3,female,24.0,1,0,15.85,S,2,False,24.0,Unknown,2,2,2,False,15.85,YoungAdult,1
144,0,3,male,19.0,0,0,6.75,Q,1,True,19.0,Unknown,1,1,1,False,6.75,YoungAdult,0
145,0,2,male,18.0,0,0,11.5,S,1,True,18.0,Unknown,1,1,1,False,11.5,YoungAdult,0
146,0,2,male,19.0,1,1,36.75,S,3,False,19.0,Unknown,2,2,2,False,36.75,YoungAdult,0
147,1,3,male,27.0,0,0,7.7958,S,1,True,27.0,Unknown,1,1,1,False,7.7958,YoungAdult,0
148,0,3,female,9.0,2,2,34.375,S,5,False,9.0,Unknown,4,4,4,False,34.375,Child,1
149,0,2,male,36.5,0,2,26.0,S,3,False,36.5,F,3,3,3,False,26.0,Adult,0
150,0,2,male,42.0,0,0,13.0,S,1,True,42.0,Unknown,1,1,1,False,13.0,Adult,0
151,0,2,male,51.0,0,0,12.525,S,1,True,51.0,Unknown,1,1,1,False,12.525,Adult,0
152,1,1,female,22.0,1,0,66.6,S,2,False,22.0,C,2,2,2,False,66.6,YoungAdult,1
153,0,3,male,55.5,0,0,8.05,S,1,True,55.5,Unknown,1,1,1,False,8.05,Adult,0
154,0,3,male,40.5,0,2,14.5,S,3,False,40.5,Unknown,1,1,1,False,14.5,Adult,0
155,0,3,male,,0,0,7.3125,S,1,True,25.0,Unknown,1,1,1,False,7.3125,YoungAdult,0
156,0,1,male,51.0,0,1,61.3792,C,2,False,51.0,Unknown,1,1,1,False,61.3792,Adult,0
157,1,3,female,16.0,0,0,7.7333,Q,1,True,16.0,Unknown,1,1,1,False,7.7333,Teen,1
158,0,3,male,30.0,0,0,8.05,S,1,True,30.0,Unknown,1,1,1,False,8.05,YoungAdult,0
159,0,3,male,,0,0,8.6625,S,1,True,25.0,Unknown,1,1,1,False,8.6625,YoungAdult,0
160,0,3,male,,8,2,69.55,S,11,False,25.0,Unknown,7,7,7,False,69.55,YoungAdult,0
161,0,3,male,44.0,0,1,16.1,S,2,False,44.0,Unknown,1,1,1,False,16.1,Adult,0
162,1,2,female,40.0,0,0,15.75,S,1,True,40.0,Unknown,1,1,1,False,15.75,Adult,1
163,0,3,male,26.0,0,0,7.775,S,1,True,26.0,Unknown,1,1,1,False,7.775,YoungAdult,0
164,0,3,male,17.0,0,0,8.6625,S,1,True,17.0,Unknown,1,1,1,False,8.6625,Teen,0
165,0,3,male,1.0,4,1,39.6875,S,6,False,1.0,Unknown,6,6,6,False,39.6875,Child,0
166,1,3,male,9.0,0,2,20.525,S,3,False,9.0,Unknown,3,3,3,False,20.525,Child,0
167,1,1,female,,0,1,55.0,S,2,False,35.0,E,2,2,2,False,55.0,Adult,1
168,0,3,female,45.0,1,4,27.9,S,6,False,45.0,Unknown,6,6,6,False,27.9,Adult,1
169,0,1,male,,0,0,25.925,S,1,True,40.0,Unknown,1,1,1,False,25.925,Adult,0
170,0,3,male,28.0,0,0,56.4958,S,1,True,28.0,Unknown,7,7,7,False,56.4958,YoungAdult,0
171,0,1,male,61.0,0,0,33.5,S,1,True,61.0,B,1,1,1,False,33.5,Senior,0
172,0,3,male,4.0,4,1,29.125,Q,6,False,4.0,Unknown,5,5,5,False,29.125,Child,0
173,1,3,female,1.0,1,1,11.1333,S,3,False,1.0,Unknown,3,3,3,False,11.1333,Child,1
174,0,3,male,21.0,0,0,7.925,S,1,True,21.0,Unknown,1,1,1,False,7.925,YoungAdult,0
175,0,1,male,56.0,0,0,30.6958,C,1,True,56.0,A,1,1,1,False,30.6958,Adult,0
176,0,3,male,18.0,1,1,7.8542,S,3,False,18.0,Unknown,1,1,1,False,7.8542,YoungAdult,0
177,0,3,male,,3,1,25.4667,S,5,False,25.0,Unknown,4,4,4,False,25.4667,YoungAdult,0
178,0,1,female,50.0,0,0,28.7125,C,1,True,50.0,C,1,1,1,False,28.7125,Adult,1
179,0,2,male,30.0,0,0,13.0,S,1,True,30.0,Unknown,1,1,1,False,13.0,YoungAdult,0
180,0,3,male,36.0,0,0,0.0,S,1,True,36.0,Unknown,4,4,4,False,0.0,Adult,0
181,0,3,female,,8,2,69.55,S,11,False,21.5,Unknown,7,7,7,False,69.55,YoungAdult,1
182,0,2,male,,0,0,15.05,C,1,True,30.0,Unknown,1,1,1,False,15.05,YoungAdult,0
183,0,3,male,9.0,4,2,31.3875,S,7,False,9.0,Unknown,4,4,4,False,31.3875,Child,0
184,1,2,male,1.0,2,1,39.0,S,4,False,1.0,F,2,2,2,False,39.0,Child,0
185,1,3,female,4.0,0,2,22.025,S,3,False,4.0,Unknown,1,1,1,False,22.025,Child,1
186,0,1,male,,0,0,50.0,S,1,True,40.0,A,1,1,1,False,50.0,Adult,0
187,1,3,female,,1,0,15.5,Q,2,False,21.5,Unknown,2,2,2,False,15.5,YoungAdult,1
188,1,1,male,45.0,0,0,26.55,S,1,True,45.0,Unknown,1,1,1,False,26.55,Adult,0
189,0,3,male,40.0,1,1,15.5,Q,3,False,40.0,Unknown,2,2,2,False,15.5,Adult,0
190,0,3,male,36.0,0,0,7.8958,S,1,True,36.0,Unknown,1,1,1,False,7.8958,Adult,0
191,1,2,female,32.0,0,0,13.0,S,1,True,32.0,Unknown,1,1,1,False,13.0,Adult,1
192,0,2,male,19.0,0,0,13.0,S,1,True,19.0,Unknown,1,1,1,False,13.0,YoungAdult,0
193,1,3,female,19.0,1,0,7.8542,S,2,False,19.0,Unknown,1,1,1,False,7.8542,YoungAdult,1
194,1,2,male,3.0,1,1,26.0,S,3,False,3.0,F,3,3,3,False,26.0,Child,0
195,1,1,female,44.0,0,0,27.7208,C,1,True,44.0,B,1,1,1,False,27.7208,Adult,1
196,1,1,female,58.0,0,0,146.5208,C,1,True,58.0,B,2,2,2,False,146.5208,Adult,1
197,0,3,male,,0,0,7.75,Q,1,True,25.0,Unknown,1,1,1,False,7.75,YoungAdult,0
198,0,3,male,42.0,0,1,8.4042,S,2,False,42.0,Unknown,1,1,1,False,8.4042,Adult,0
199,1,3,female,,0,0,7.75,Q,1,True,21.5,Unknown,1,1,1,False,7.75,YoungAdult,1
200,0,2,female,24.0,0,0,13.0,S,1,True,24.0,Unknown,1,1,1,False,13.0,YoungAdult,1
201,0,3,male,28.0,0,0,9.5,S,1,True,28.0,Unknown,1,1,1,False,9.5,YoungAdult,0
202,0,3,male,,8,2,69.55,S,11,False,25.0,Unknown,7,7,7,False,69.55,YoungAdult,0
203,0,3,male,34.0,0,0,6.4958,S,1,True,34.0,Unknown,1,1,1,False,6.4958,Adult,0
204,0,3,male,45.5,0,0,7.225,C,1,True,45.5,Unknown,1,1,1,False,7.225,Adult,0
205,1,3,male,18.0,0,0,8.05,S,1,True,18.0,Unknown,1,1,1,False,8.05,YoungAdult,0
206,0,3,female,2.0,0,1,10.4625,S,2,False,2.0,G,2,2,2,False,10.4625,Child,1
207,0,3,male,32.0,1,0,15.85,S,2,False,32.0,Unknown,2,2,2,False,15.85,Adult,0
208,1,3,male,26.0,0,0,18.7875,C,1,True,26.0,Unknown,2,2,2,False,18.7875,YoungAdult,0
209,1,3,female,16.0,0,0,7.75,Q,1,True,16.0,Unknown,1,1,1,False,7.75,Teen,1
210,1,1,male,40.0,0,0,31.0,C,1,True,40.0,A,1,1,1,False,31.0,Adult,0
211,0,3,male,24.0,0,0,7.05,S,1,True,24.0,Unknown,1,1,1,False,7.05,YoungAdult,0
212,1,2,female,35.0,0,0,21.0,S,1,True,35.0,Unknown,1,1,1,False,21.0,Adult,1
213,0,3,male,22.0,0,0,7.25,S,1,True,22.0,Unknown,1,1,1,False,7.25,YoungAdult,0
214,0,2,male,30.0,0,0,13.0,S,1,True,30.0,Unknown,1,1,1,False,13.0,YoungAdult,0
215,0,3,male,,1,0,7.75,Q,2,False,25.0,Unknown,1,1,1,False,7.75,YoungAdult,0
216,1,1,female,31.0,1,0,113.275,C,2,False,31.0,D,3,3,3,False,113.275,Adult,1
217,1,3,female,27.0,0,0,7.925,S,1,True,27.0,Unknown,1,1,1,False,7.925,YoungAdult,1
218,0,2,male,42.0,1,0,27.0,S,2,False,42.0,Unknown,2,2,2,False,27.0,Adult,0
219,1,1,female,32.0,0,0,76.2917,C,1,True,32.0,D,1,1,1,False,76.2917,Adult,1
220,0,2,male,30.0,0,0,10.5,S,1,True,30.0,Unknown,1,1,1,False,10.5,YoungAdult,0
221,1,3,male,16.0,0,0,8.05,S,1,True,16.0,Unknown,1,1,1,False,8.05,Teen,0
